change_id,repo,agent,package,pinned_version,primary_label,accepted_by_variants
HaibinFan/dermamnist-skin-lesion-classification#3::requirements.txt::scikit-learn::add,HaibinFan/dermamnist-skin-lesion-classification,copilot,scikit-learn,1.4.1,P2_INVALID_VERSION_SPEC,B0_no_gate|B1_scanner_fail_open|S1_existence
motanova84/Riemann-adelic#2748::requirements-lock.txt::pillow::version_change,motanova84/Riemann-adelic,copilot,pillow,12.1.1,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
DevRexxxx/Music_Player#10::requirements.txt::django::add,DevRexxxx/Music_Player,copilot,Django,5.2.5,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
DevRexxxx/Music_Player#10::requirements.txt::pillow::add,DevRexxxx/Music_Player,copilot,Pillow,10.4.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
dotkaio/pose-tracking-3d#3::requirements.txt::torch::add,dotkaio/pose-tracking-3d,copilot,torch,2.6.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
Dhanush-M-0/SmartBiz#1::requirements.txt::pyjwt::version_change,Dhanush-M-0/SmartBiz,copilot,PyJWT,2.8.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
Har00ny/TechExcel-Integrating-Azure-PaaS-and-AI-Services-for-AI-Design-Wins#1::src/NameAgeApp/requirements.txt::streamlit::add,Har00ny/TechExcel-Integrating-Azure-PaaS-and-AI-Services-for-AI-Design-Wins,copilot,streamlit,1.45.1,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::cryptography::add,Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026,copilot,cryptography,46.0.7,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|B1_scanner_fail_open|B1b_scanner_fail_closed|S1_existence|S1S2_version
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::pillow::add,Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026,copilot,pillow,12.2.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|B1_scanner_fail_open|B1b_scanner_fail_closed|S1_existence|S1S2_version
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::torch::add,Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026,copilot,torch,2.11.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
danielcallejass2025-boop/SIVIGILAV2#1::requirements.txt::streamlit::version_change,danielcallejass2025-boop/SIVIGILAV2,copilot,streamlit,1.40.2,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
jigwemoh/scalper-saas#1::apps/ai-engine/requirements.txt::torch::version_change,jigwemoh/scalper-saas,copilot,torch,2.6.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
jigwemoh/scalper-saas#1::requirements.txt::torch::add,jigwemoh/scalper-saas,copilot,torch,2.6.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
fuyumiyahorou/RFdiffusion#1::env/SE3Transformer/requirements.txt::dgl::add,fuyumiyahorou/RFdiffusion,copilot,dgl,1.0.2,P2_INVALID_VERSION_SPEC,B0_no_gate|B1_scanner_fail_open|S1_existence
basavarajks/python-dsa-revision-2026#1::backend/requirements.txt::python-multipart::add,basavarajks/python-dsa-revision-2026,copilot,python-multipart,0.0.22,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
Michael-me03/Demo-Dash#1::requirements.txt::streamlit::add,Michael-me03/Demo-Dash,copilot,streamlit,1.29.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
Michael-me03/Demo-Dash#1::requirements.txt::pymongo::add,Michael-me03/Demo-Dash,copilot,pymongo,4.6.1,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
Michael-me03/Demo-Dash#1::requirements.txt::requests::add,Michael-me03/Demo-Dash,copilot,requests,2.31.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
LevelDownRefine/LiveCap#6::requirements.txt::flask::add,LevelDownRefine/LiveCap,copilot,flask,3.1.1,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
gestaofundiaria/Gestao#1::requirements.txt::flask::add,gestaofundiaria/Gestao,copilot,Flask,3.0.3,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
btygd543/Telegroub-#6::requirements.txt::aiohttp::add,btygd543/Telegroub-,copilot,aiohttp,3.13.3,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
btygd543/Telegroub-#6::requirements.txt::pillow::add,btygd543/Telegroub-,copilot,pillow,12.1.1,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
btygd543/Telegroub-#6::requirements.txt::requests::add,btygd543/Telegroub-,copilot,requests,2.32.4,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
CSonTi04/azure-trust-agents#1::requirements.txt::werkzeug::version_change,CSonTi04/azure-trust-agents,copilot,Werkzeug,3.1.1,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
jcorcione/vibe-digest#1::python/requirements.txt::markdownify::add,jcorcione/vibe-digest,copilot,markdownify,0.9.4,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
jcorcione/vibe-digest#1::python/requirements.txt::requests::add,jcorcione/vibe-digest,copilot,requests,2.32.3,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
jcorcione/vibe-digest#1::python/requirements.txt::python-dotenv::add,jcorcione/vibe-digest,copilot,python-dotenv,1.0.1,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
jcorcione/vibe-digest#1::python/requirements.txt::pytest::add,jcorcione/vibe-digest,copilot,pytest,8.2.2,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
ve-coder/Labor-25-26#2::requirements.txt::ursina::add,ve-coder/Labor-25-26,copilot,ursina,6.4.0,P2_INVALID_VERSION_SPEC,B0_no_gate|B1_scanner_fail_open|S1_existence
ve-coder/Labor-25-26#2::requirements.txt::picamera2::add,ve-coder/Labor-25-26,copilot,picamera2,0.3.20,P2_INVALID_VERSION_SPEC,B0_no_gate|B1_scanner_fail_open|S1_existence
AFROZ-CK/mahi-pdd#2::app/requirements.txt::python-dotenv::add,AFROZ-CK/mahi-pdd,copilot,python-dotenv,1.1.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
Amartya2001-droid/campus-safety-hub#1::backend/requirements.txt::cryptography::add,Amartya2001-droid/campus-safety-hub,copilot,cryptography,46.0.5,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
Amartya2001-droid/campus-safety-hub#1::backend/requirements.txt::emergentintegrations::add,Amartya2001-droid/campus-safety-hub,copilot,emergentintegrations,0.1.0,P1_NONEXISTENT_PACKAGE,B0_no_gate|B1_scanner_fail_open
Amartya2001-droid/campus-safety-hub#1::backend/requirements.txt::pillow::add,Amartya2001-droid/campus-safety-hub,copilot,pillow,12.1.1,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
Amartya2001-droid/campus-safety-hub#1::backend/requirements.txt::pymongo::add,Amartya2001-droid/campus-safety-hub,copilot,pymongo,4.5.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
Amartya2001-droid/campus-safety-hub#1::backend/requirements.txt::pytest::add,Amartya2001-droid/campus-safety-hub,copilot,pytest,9.0.2,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
kafaat/sahool-unified-v15-idp#1427::apps/services/ai-advisor/requirements.txt::langchain-community::version_change,kafaat/sahool-unified-v15-idp,copilot,langchain-community,0.4.0,P2_INVALID_VERSION_SPEC,B0_no_gate|B1_scanner_fail_open|B1b_scanner_fail_closed|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
sohamda/aks-store-demo#77::src/ai-service/requirements.txt::pillow::version_change,sohamda/aks-store-demo,copilot,pillow,12.2.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|B1_scanner_fail_open|B1b_scanner_fail_closed|S1_existence|S1S2_version
reciclaplus/reciclapp#104::fast_api/requirements.txt::cryptography::add,reciclaplus/reciclapp,copilot,cryptography,46.0.6,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
Vaibhav-Magadum/Login-Page#1::requirements.txt::flask::add,Vaibhav-Magadum/Login-Page,copilot,Flask,3.1.1,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
Vaibhav-Magadum/Login-Page#1::requirements.txt::pytest::add,Vaibhav-Magadum/Login-Page,copilot,pytest,8.3.5,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
raghaviCJanaswamy/pygoat#2::requirements.txt::requests::version_change,raghaviCJanaswamy/pygoat,copilot,requests,2.31.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
AK-roy-10/Building-App#1::backend/requirements.txt::python-jose::add,AK-roy-10/Building-App,copilot,python-jose,3.3.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
AK-roy-10/Building-App#1::backend/requirements.txt::python-multipart::add,AK-roy-10/Building-App,copilot,python-multipart,0.0.12,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
AK-roy-10/Building-App#1::backend/requirements.txt::jinja2::add,AK-roy-10/Building-App,copilot,jinja2,3.1.4,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
AK-roy-10/Building-App#1::backend/requirements.txt::cryptography::add,AK-roy-10/Building-App,copilot,cryptography,43.0.1,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
AK-roy-10/Building-App#1::backend/requirements.txt::python-dotenv::add,AK-roy-10/Building-App,copilot,python-dotenv,1.0.1,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
AK-roy-10/Building-App#1::backend/requirements.txt::pytest::add,AK-roy-10/Building-App,copilot,pytest,8.3.3,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
sawryaseth384-hub/options-dashboard#28::requirements.txt::requests::version_change,sawryaseth384-hub/options-dashboard,copilot,requests,2.32.3,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
matt-the-ogre/tide-calendar-site#36::requirements.txt::werkzeug::version_change,matt-the-ogre/tide-calendar-site,copilot,Werkzeug,3.1.4,P2_INVALID_VERSION_SPEC,B0_no_gate|S1_existence
sonaiso/sanadcom#48::src/backend/requirements.txt::cryptography::version_change,sonaiso/sanadcom,copilot,cryptography,46.0.5,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
Hakaya35/UrbanEV#1::requirements.txt::torch::add,Hakaya35/UrbanEV,copilot,torch,2.4.1,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
xkx9431/multimodal-search#1::requirements.txt::pyspark::add,xkx9431/multimodal-search,copilot,pyspark,3.5.1,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|B1_scanner_fail_open|S1_existence|S1S2_version
Gurukiran-P16/FoodGuarddAi#1::requirements.txt::pillow::add,Gurukiran-P16/FoodGuarddAi,copilot,pillow,10.3.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
Gurukiran-P16/FoodGuarddAi#1::requirements.txt::pytest::add,Gurukiran-P16/FoodGuarddAi,copilot,pytest,8.2.2,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
RampantLions/AwsAppRunner#1::requirements.txt::flask::add,RampantLions/AwsAppRunner,copilot,flask,3.1.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
diegosnchz/SpotifyWrapped#20::spotify_pipeline/requirements.txt::apache-airflow::version_change,diegosnchz/SpotifyWrapped,copilot,apache-airflow,3.2.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|B1_scanner_fail_open|S1_existence|S1S2_version
FmasterofU/minimal-uds-tester#1::requirements.txt::python-isotp::add,FmasterofU/minimal-uds-tester,copilot,python-isotp,,P1_NONEXISTENT_PACKAGE,B0_no_gate|B1_scanner_fail_open
will-rice/denoisers#55::requirements.txt::torch::version_change,will-rice/denoisers,copilot,torch,2.10.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
will-rice/denoisers#55::requirements.txt::torchcodec::add,will-rice/denoisers,copilot,torchcodec,0.11.0,P2_INVALID_VERSION_SPEC,B0_no_gate|B1_scanner_fail_open|B1b_scanner_fail_closed|S1_existence
vkb1/oep-developer-guides#1::sample-apps/license-plate-recognition/requirements.txt::torch::add,vkb1/oep-developer-guides,copilot,torch,2.11.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
vkb1/oep-developer-guides#1::sample-apps/license-plate-recognition/requirements.txt::ultralytics::add,vkb1/oep-developer-guides,copilot,ultralytics,8.4.29,P2_INVALID_VERSION_SPEC,B0_no_gate|S1_existence
vkb1/oep-developer-guides#1::sample-apps/license-plate-recognition/requirements.txt::pillow::add,vkb1/oep-developer-guides,copilot,Pillow,12.1.1,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
vkb1/oep-developer-guides#1::sample-apps/license-plate-recognition/v1_sample_app/requirements.txt::torch::add,vkb1/oep-developer-guides,copilot,torch,2.11.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
vkb1/oep-developer-guides#1::sample-apps/license-plate-recognition/v1_sample_app/requirements.txt::ultralytics::add,vkb1/oep-developer-guides,copilot,ultralytics,8.4.29,P2_INVALID_VERSION_SPEC,B0_no_gate|S1_existence
vkb1/oep-developer-guides#1::sample-apps/license-plate-recognition/v1_sample_app/requirements.txt::pillow::add,vkb1/oep-developer-guides,copilot,Pillow,12.1.1,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
vkb1/oep-developer-guides#1::sample-apps/license-plate-recognition/v2_sample_app/requirements.txt::torch::add,vkb1/oep-developer-guides,copilot,torch,2.11.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
vkb1/oep-developer-guides#1::sample-apps/license-plate-recognition/v2_sample_app/requirements.txt::ultralytics::add,vkb1/oep-developer-guides,copilot,ultralytics,8.4.29,P2_INVALID_VERSION_SPEC,B0_no_gate|S1_existence
vkb1/oep-developer-guides#1::sample-apps/license-plate-recognition/v2_sample_app/requirements.txt::pillow::add,vkb1/oep-developer-guides,copilot,Pillow,12.1.1,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
vkb1/oep-developer-guides#1::sample-apps/license-plate-recognition/v3_sample_app/requirements.txt::pillow::add,vkb1/oep-developer-guides,copilot,Pillow,12.1.1,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
jcorcione/vibe-digest#2::python/requirements.txt::markdown::add,jcorcione/vibe-digest,copilot,markdown,3.6,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
sohamda/aks-store-demo#106::src/ai-service/requirements.txt::pillow::version_change,sohamda/aks-store-demo,copilot,pillow,12.2.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|B1_scanner_fail_open|B1b_scanner_fail_closed|S1_existence|S1S2_version
HarbyT/proyecto-gestion-cotizacion-huellas#2::backend/requirements.txt::django::add,HarbyT/proyecto-gestion-cotizacion-huellas,copilot,Django,5.1.3,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
HarbyT/proyecto-gestion-cotizacion-huellas#2::backend/requirements.txt::pillow::add,HarbyT/proyecto-gestion-cotizacion-huellas,copilot,Pillow,10.1.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
mrmahfoudhhaythem-lang/simple_chatbots#1::requirements.txt::transformers::add,mrmahfoudhhaythem-lang/simple_chatbots,copilot,transformers,4.41.2,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
mrmahfoudhhaythem-lang/simple_chatbots#1::requirements.txt::torch::add,mrmahfoudhhaythem-lang/simple_chatbots,copilot,torch,2.2.2,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
ahmedghabara90-byte/finale_asd2#1::api/requirements.txt::python-multipart::add,ahmedghabara90-byte/finale_asd2,copilot,python-multipart,0.0.22,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
0ai-Cyberviser/oss-fuzz#71::infra/build/functions/requirements.txt::brotli::version_change,0ai-Cyberviser/oss-fuzz,copilot,Brotli,1.2.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|B1_scanner_fail_open|B1b_scanner_fail_closed|S1_existence|S1S2_version
CopilotLabs007/agentic-sdlc#7::demo/requirements.txt::flask::add,CopilotLabs007/agentic-sdlc,copilot,Flask,3.0.3,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
CopilotLabs007/agentic-sdlc#7::demo/requirements.txt::pyjwt::add,CopilotLabs007/agentic-sdlc,copilot,PyJWT,2.8.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
CopilotLabs007/agentic-sdlc#7::demo/requirements.txt::marshmallow::add,CopilotLabs007/agentic-sdlc,copilot,marshmallow,3.21.3,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
CopilotLabs007/agentic-sdlc#7::demo/requirements.txt::pytest::add,CopilotLabs007/agentic-sdlc,copilot,pytest,8.2.2,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
CopilotLabs007/agentic-sdlc#7::demo/requirements.txt::python-dotenv::add,CopilotLabs007/agentic-sdlc,copilot,python-dotenv,1.0.1,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
ParanKafleUTS/FinalB#1::requirements.txt::python-multipart::add,ParanKafleUTS/FinalB,copilot,python-multipart,0.0.22,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
ParanKafleUTS/FinalB#1::requirements.txt::pillow::add,ParanKafleUTS/FinalB,copilot,Pillow,12.2.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|B1_scanner_fail_open|B1b_scanner_fail_closed|S1_existence|S1S2_version
ParanKafleUTS/FinalB#1::requirements.txt::clearml::add,ParanKafleUTS/FinalB,copilot,clearml,1.16.2,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
ParanKafleUTS/FinalB#1::requirements.txt::scikit-learn::add,ParanKafleUTS/FinalB,copilot,scikit-learn,1.4.2,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version
codekaa1ciu1/directgraph-engine#2::requirements.txt::jinja2::add,codekaa1ciu1/directgraph-engine,copilot,jinja2,3.1.4,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
codekaa1ciu1/directgraph-engine#2::requirements.txt::pytest::add,codekaa1ciu1/directgraph-engine,copilot,pytest,8.3.3,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
shawnzhou17/shawnzhou#1::backend/requirements.txt::pypdf2::add,shawnzhou17/shawnzhou,copilot,pypdf2,3.0.1,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|B1_scanner_fail_open|B1b_scanner_fail_closed|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
shawnzhou17/shawnzhou#1::backend/requirements.txt::python-multipart::add,shawnzhou17/shawnzhou,copilot,python-multipart,0.0.22,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
shawnzhou17/shawnzhou#1::backend/requirements.txt::python-dotenv::add,shawnzhou17/shawnzhou,copilot,python-dotenv,1.0.1,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
harunraseed/Event_Flow_Project#4::requirements.txt::werkzeug::version_change,harunraseed/Event_Flow_Project,copilot,Werkzeug,3.0.3,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
harunraseed/Event_Flow_Project#4::requirements.txt::requests::version_change,harunraseed/Event_Flow_Project,copilot,requests,2.31.0,P3_DIRECT_KNOWN_VULNERABILITY,B0_no_gate|S1_existence|S1S2_version|S1S2S3_direct_evidence|S1S2S3_plus_license|B3_full_guard
