change_id,pr_id,repo,pr_url,created_at,tool_evidence,manifest_file,package_name,new_spec,change_type,label_primary,primary_grade,label_confidence,evidence_source,adjudication_result
samstill/company_management_backend#1::requirements.txt::pillow::version_change,samstill/company_management_backend#1,samstill/company_management_backend,https://github.com/samstill/company_management_backend/pull/1,2026-05-29T07:51:41Z,aidev_agent:copilot,requirements.txt,pillow,==12.2.0,version_change,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),P3_DIRECT_KNOWN_VULNERABILITY
Dhanush-M-0/SmartBiz#1::requirements.txt::pyjwt::version_change,Dhanush-M-0/SmartBiz#1,Dhanush-M-0/SmartBiz,https://github.com/Dhanush-M-0/SmartBiz/pull/1,2026-03-28T23:29:32Z,aidev_agent:copilot,requirements.txt,PyJWT,==2.8.0,version_change,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
Har00ny/TechExcel-Integrating-Azure-PaaS-and-AI-Services-for-AI-Design-Wins#1::src/NameAgeApp/requirements.txt::streamlit::add,Har00ny/TechExcel-Integrating-Azure-PaaS-and-AI-Services-for-AI-Design-Wins#1,Har00ny/TechExcel-Integrating-Azure-PaaS-and-AI-Services-for-AI-Design-Wins,https://github.com/Har00ny/TechExcel-Integrating-Azure-PaaS-and-AI-Services-for-AI-Design-Wins/pull/1,2026-06-07T12:10:35Z,aidev_agent:copilot,src/NameAgeApp/requirements.txt,streamlit,==1.45.1,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::cryptography::add,Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8,Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026,https://github.com/Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026/pull/8,2026-04-22T21:16:54Z,aidev_agent:copilot,apps/api/requirements.lock.txt,cryptography,==46.0.7,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),P3_DIRECT_KNOWN_VULNERABILITY
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::pillow::add,Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8,Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026,https://github.com/Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026/pull/8,2026-04-22T21:16:54Z,aidev_agent:copilot,apps/api/requirements.lock.txt,pillow,==12.2.0,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),P3_DIRECT_KNOWN_VULNERABILITY
Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8::apps/api/requirements.lock.txt::torch::add,Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026#8,Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026,https://github.com/Inayat-0007/teamgenie-ai-PRIVATE-PATENT-2026/pull/8,2026-04-22T21:16:54Z,aidev_agent:copilot,apps/api/requirements.lock.txt,torch,==2.11.0,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
danielcallejass2025-boop/SIVIGILAV2#1::requirements.txt::streamlit::version_change,danielcallejass2025-boop/SIVIGILAV2#1,danielcallejass2025-boop/SIVIGILAV2,https://github.com/danielcallejass2025-boop/SIVIGILAV2/pull/1,2026-04-23T19:47:51Z,aidev_agent:copilot,requirements.txt,streamlit,==1.40.2,version_change,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
jigwemoh/scalper-saas#1::apps/ai-engine/requirements.txt::torch::version_change,jigwemoh/scalper-saas#1,jigwemoh/scalper-saas,https://github.com/jigwemoh/scalper-saas/pull/1,2026-03-04T12:27:48Z,aidev_agent:copilot,apps/ai-engine/requirements.txt,torch,==2.6.0,version_change,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
jigwemoh/scalper-saas#1::requirements.txt::torch::add,jigwemoh/scalper-saas#1,jigwemoh/scalper-saas,https://github.com/jigwemoh/scalper-saas/pull/1,2026-03-04T12:27:48Z,aidev_agent:copilot,requirements.txt,torch,==2.6.0,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
fuyumiyahorou/RFdiffusion#1::env/SE3Transformer/requirements.txt::dgl::add,fuyumiyahorou/RFdiffusion#1,fuyumiyahorou/RFdiffusion,https://github.com/fuyumiyahorou/RFdiffusion/pull/1,2026-04-13T10:56:00Z,aidev_agent:copilot,env/SE3Transformer/requirements.txt,dgl,==1.0.2,add,P2_INVALID_VERSION_SPEC,strong_absent_now,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
basavarajks/python-dsa-revision-2026#1::backend/requirements.txt::python-multipart::add,basavarajks/python-dsa-revision-2026#1,basavarajks/python-dsa-revision-2026,https://github.com/basavarajks/python-dsa-revision-2026/pull/1,2026-04-25T05:42:13Z,aidev_agent:copilot,backend/requirements.txt,python-multipart,==0.0.22,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
Michael-me03/Demo-Dash#1::requirements.txt::streamlit::add,Michael-me03/Demo-Dash#1,Michael-me03/Demo-Dash,https://github.com/Michael-me03/Demo-Dash/pull/1,2025-12-16T21:38:16Z,aidev_agent:copilot,requirements.txt,streamlit,==1.29.0,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
Michael-me03/Demo-Dash#1::requirements.txt::pymongo::add,Michael-me03/Demo-Dash#1,Michael-me03/Demo-Dash,https://github.com/Michael-me03/Demo-Dash/pull/1,2025-12-16T21:38:16Z,aidev_agent:copilot,requirements.txt,pymongo,==4.6.1,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
Michael-me03/Demo-Dash#1::requirements.txt::requests::add,Michael-me03/Demo-Dash#1,Michael-me03/Demo-Dash,https://github.com/Michael-me03/Demo-Dash/pull/1,2025-12-16T21:38:16Z,aidev_agent:copilot,requirements.txt,requests,==2.31.0,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
LevelDownRefine/LiveCap#6::requirements.txt::flask::add,LevelDownRefine/LiveCap#6,LevelDownRefine/LiveCap,https://github.com/LevelDownRefine/LiveCap/pull/6,2026-05-26T03:18:50Z,aidev_agent:copilot,requirements.txt,flask,==3.1.1,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
gestaofundiaria/Gestao#1::requirements.txt::flask::add,gestaofundiaria/Gestao#1,gestaofundiaria/Gestao,https://github.com/gestaofundiaria/Gestao/pull/1,2026-04-06T17:32:35Z,aidev_agent:copilot,requirements.txt,Flask,==3.0.3,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
btygd543/Telegroub-#6::requirements.txt::aiohttp::add,btygd543/Telegroub-#6,btygd543/Telegroub-,https://github.com/btygd543/Telegroub-/pull/6,2026-04-02T08:17:25Z,aidev_agent:copilot,requirements.txt,aiohttp,==3.13.3,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
btygd543/Telegroub-#6::requirements.txt::pillow::add,btygd543/Telegroub-#6,btygd543/Telegroub-,https://github.com/btygd543/Telegroub-/pull/6,2026-04-02T08:17:25Z,aidev_agent:copilot,requirements.txt,pillow,==12.1.1,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),P3_DIRECT_KNOWN_VULNERABILITY
btygd543/Telegroub-#6::requirements.txt::requests::add,btygd543/Telegroub-#6,btygd543/Telegroub-,https://github.com/btygd543/Telegroub-/pull/6,2026-04-02T08:17:25Z,aidev_agent:copilot,requirements.txt,requests,==2.32.4,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
CSonTi04/azure-trust-agents#1::requirements.txt::werkzeug::version_change,CSonTi04/azure-trust-agents#1,CSonTi04/azure-trust-agents,https://github.com/CSonTi04/azure-trust-agents/pull/1,2025-12-10T10:27:24Z,aidev_agent:copilot,requirements.txt,Werkzeug,==3.1.1,version_change,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
jcorcione/vibe-digest#1::python/requirements.txt::markdownify::add,jcorcione/vibe-digest#1,jcorcione/vibe-digest,https://github.com/jcorcione/vibe-digest/pull/1,2026-05-18T19:22:20Z,aidev_agent:copilot,python/requirements.txt,markdownify,==0.9.4,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
jcorcione/vibe-digest#1::python/requirements.txt::requests::add,jcorcione/vibe-digest#1,jcorcione/vibe-digest,https://github.com/jcorcione/vibe-digest/pull/1,2026-05-18T19:22:20Z,aidev_agent:copilot,python/requirements.txt,requests,==2.32.3,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
jcorcione/vibe-digest#1::python/requirements.txt::python-dotenv::add,jcorcione/vibe-digest#1,jcorcione/vibe-digest,https://github.com/jcorcione/vibe-digest/pull/1,2026-05-18T19:22:20Z,aidev_agent:copilot,python/requirements.txt,python-dotenv,==1.0.1,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
jcorcione/vibe-digest#1::python/requirements.txt::pytest::add,jcorcione/vibe-digest#1,jcorcione/vibe-digest,https://github.com/jcorcione/vibe-digest/pull/1,2026-05-18T19:22:20Z,aidev_agent:copilot,python/requirements.txt,pytest,==8.2.2,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
ve-coder/Labor-25-26#2::requirements.txt::ursina::add,ve-coder/Labor-25-26#2,ve-coder/Labor-25-26,https://github.com/ve-coder/Labor-25-26/pull/2,2026-04-30T12:46:03Z,aidev_agent:copilot,requirements.txt,ursina,==6.4.0,add,P2_INVALID_VERSION_SPEC,strong_absent_now,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
ve-coder/Labor-25-26#2::requirements.txt::picamera2::add,ve-coder/Labor-25-26#2,ve-coder/Labor-25-26,https://github.com/ve-coder/Labor-25-26/pull/2,2026-04-30T12:46:03Z,aidev_agent:copilot,requirements.txt,picamera2,==0.3.20,add,P2_INVALID_VERSION_SPEC,strong_absent_now,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
AFROZ-CK/mahi-pdd#2::app/requirements.txt::python-dotenv::add,AFROZ-CK/mahi-pdd#2,AFROZ-CK/mahi-pdd,https://github.com/AFROZ-CK/mahi-pdd/pull/2,2026-05-09T08:54:58Z,aidev_agent:copilot,app/requirements.txt,python-dotenv,==1.1.0,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
Amartya2001-droid/campus-safety-hub#1::backend/requirements.txt::cryptography::add,Amartya2001-droid/campus-safety-hub#1,Amartya2001-droid/campus-safety-hub,https://github.com/Amartya2001-droid/campus-safety-hub/pull/1,2026-03-15T16:02:45Z,aidev_agent:copilot,backend/requirements.txt,cryptography,==46.0.5,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),P3_DIRECT_KNOWN_VULNERABILITY
Amartya2001-droid/campus-safety-hub#1::backend/requirements.txt::emergentintegrations::add,Amartya2001-droid/campus-safety-hub#1,Amartya2001-droid/campus-safety-hub,https://github.com/Amartya2001-droid/campus-safety-hub/pull/1,2026-03-15T16:02:45Z,aidev_agent:copilot,backend/requirements.txt,emergentintegrations,==0.1.0,add,P1_NONEXISTENT_PACKAGE,medium_404_now,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
Amartya2001-droid/campus-safety-hub#1::backend/requirements.txt::pillow::add,Amartya2001-droid/campus-safety-hub#1,Amartya2001-droid/campus-safety-hub,https://github.com/Amartya2001-droid/campus-safety-hub/pull/1,2026-03-15T16:02:45Z,aidev_agent:copilot,backend/requirements.txt,pillow,==12.1.1,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),P3_DIRECT_KNOWN_VULNERABILITY
Amartya2001-droid/campus-safety-hub#1::backend/requirements.txt::pymongo::add,Amartya2001-droid/campus-safety-hub#1,Amartya2001-droid/campus-safety-hub,https://github.com/Amartya2001-droid/campus-safety-hub/pull/1,2026-03-15T16:02:45Z,aidev_agent:copilot,backend/requirements.txt,pymongo,==4.5.0,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
Amartya2001-droid/campus-safety-hub#1::backend/requirements.txt::pytest::add,Amartya2001-droid/campus-safety-hub#1,Amartya2001-droid/campus-safety-hub,https://github.com/Amartya2001-droid/campus-safety-hub/pull/1,2026-03-15T16:02:45Z,aidev_agent:copilot,backend/requirements.txt,pytest,==9.0.2,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
kafaat/sahool-unified-v15-idp#1427::apps/services/ai-advisor/requirements.txt::langchain-community::version_change,kafaat/sahool-unified-v15-idp#1427,kafaat/sahool-unified-v15-idp,https://github.com/kafaat/sahool-unified-v15-idp/pull/1427,2026-03-31T16:50:55Z,aidev_agent:copilot,apps/services/ai-advisor/requirements.txt,langchain-community,==0.4.0,version_change,P2_INVALID_VERSION_SPEC,strong_absent_now,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),P2_INVALID_VERSION_SPEC
sohamda/aks-store-demo#77::src/ai-service/requirements.txt::pillow::version_change,sohamda/aks-store-demo#77,sohamda/aks-store-demo,https://github.com/sohamda/aks-store-demo/pull/77,2026-04-16T07:37:42Z,aidev_agent:copilot,src/ai-service/requirements.txt,pillow,==12.2.0,version_change,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),P3_DIRECT_KNOWN_VULNERABILITY
reciclaplus/reciclapp#104::fast_api/requirements.txt::cryptography::add,reciclaplus/reciclapp#104,reciclaplus/reciclapp,https://github.com/reciclaplus/reciclapp/pull/104,2026-04-06T14:26:12Z,aidev_agent:copilot,fast_api/requirements.txt,cryptography,==46.0.6,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),P3_DIRECT_KNOWN_VULNERABILITY
Vaibhav-Magadum/Login-Page#1::requirements.txt::flask::add,Vaibhav-Magadum/Login-Page#1,Vaibhav-Magadum/Login-Page,https://github.com/Vaibhav-Magadum/Login-Page/pull/1,2026-04-15T16:07:32Z,aidev_agent:copilot,requirements.txt,Flask,==3.1.1,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
Vaibhav-Magadum/Login-Page#1::requirements.txt::pytest::add,Vaibhav-Magadum/Login-Page#1,Vaibhav-Magadum/Login-Page,https://github.com/Vaibhav-Magadum/Login-Page/pull/1,2026-04-15T16:07:32Z,aidev_agent:copilot,requirements.txt,pytest,==8.3.5,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
raghaviCJanaswamy/pygoat#2::requirements.txt::requests::version_change,raghaviCJanaswamy/pygoat#2,raghaviCJanaswamy/pygoat,https://github.com/raghaviCJanaswamy/pygoat/pull/2,2026-05-01T11:52:58Z,aidev_agent:copilot,requirements.txt,requests,==2.31.0,version_change,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
AK-roy-10/Building-App#1::backend/requirements.txt::python-jose::add,AK-roy-10/Building-App#1,AK-roy-10/Building-App,https://github.com/AK-roy-10/Building-App/pull/1,2026-05-31T22:23:47Z,aidev_agent:copilot,backend/requirements.txt,python-jose,==3.3.0,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
AK-roy-10/Building-App#1::backend/requirements.txt::python-multipart::add,AK-roy-10/Building-App#1,AK-roy-10/Building-App,https://github.com/AK-roy-10/Building-App/pull/1,2026-05-31T22:23:47Z,aidev_agent:copilot,backend/requirements.txt,python-multipart,==0.0.12,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
AK-roy-10/Building-App#1::backend/requirements.txt::jinja2::add,AK-roy-10/Building-App#1,AK-roy-10/Building-App,https://github.com/AK-roy-10/Building-App/pull/1,2026-05-31T22:23:47Z,aidev_agent:copilot,backend/requirements.txt,jinja2,==3.1.4,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
AK-roy-10/Building-App#1::backend/requirements.txt::cryptography::add,AK-roy-10/Building-App#1,AK-roy-10/Building-App,https://github.com/AK-roy-10/Building-App/pull/1,2026-05-31T22:23:47Z,aidev_agent:copilot,backend/requirements.txt,cryptography,==43.0.1,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
AK-roy-10/Building-App#1::backend/requirements.txt::python-dotenv::add,AK-roy-10/Building-App#1,AK-roy-10/Building-App,https://github.com/AK-roy-10/Building-App/pull/1,2026-05-31T22:23:47Z,aidev_agent:copilot,backend/requirements.txt,python-dotenv,==1.0.1,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
AK-roy-10/Building-App#1::backend/requirements.txt::pytest::add,AK-roy-10/Building-App#1,AK-roy-10/Building-App,https://github.com/AK-roy-10/Building-App/pull/1,2026-05-31T22:23:47Z,aidev_agent:copilot,backend/requirements.txt,pytest,==8.3.3,add,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
sawryaseth384-hub/options-dashboard#28::requirements.txt::requests::version_change,sawryaseth384-hub/options-dashboard#28,sawryaseth384-hub/options-dashboard,https://github.com/sawryaseth384-hub/options-dashboard/pull/28,2026-03-28T11:56:10Z,aidev_agent:copilot,requirements.txt,requests,==2.32.3,version_change,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
matt-the-ogre/tide-calendar-site#36::requirements.txt::werkzeug::version_change,matt-the-ogre/tide-calendar-site#36,matt-the-ogre/tide-calendar-site,https://github.com/matt-the-ogre/tide-calendar-site/pull/36,2025-11-14T04:31:02Z,aidev_agent:copilot,requirements.txt,Werkzeug,==3.1.4,version_change,P2_INVALID_VERSION_SPEC,conditional_released_after_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),
sonaiso/sanadcom#48::src/backend/requirements.txt::cryptography::version_change,sonaiso/sanadcom#48,sonaiso/sanadcom,https://github.com/sonaiso/sanadcom/pull/48,2026-02-24T11:07:15Z,aidev_agent:copilot,src/backend/requirements.txt,cryptography,==46.0.5,version_change,P3_DIRECT_KNOWN_VULNERABILITY,advisory_published_before_pr,high,dual_independent(labeler_A=evidence; labeler_B=live_pypi_osv),P3_DIRECT_KNOWN_VULNERABILITY
